label,lon,lat
A,-165.27488,-1.9859733333
A,-165.2715733333,-1.9877866667
A,-165.24184,-2.0044
A,-165.2405866667,-2.0050666667
A,-165.2378666667,-2.0065866667
A,-165.23584,-2.0077333333
A,-165.2333066667,-2.00912
A,-165.2309333333,-2.0104266667
A,-165.2277066667,-2.0122666667
A,-165.2249,-2.0137833333
A,-165.2229866667,-2.0148533333
A,-165.2213066667,-2.0157866667
A,-165.2188533333,-2.01712
A,-165.2161066667,-2.0186666667
A,-165.2128533333,-2.0205066667
A,-165.20928,-2.0225066667
A,-165.2064533333,-2.02408
A,-165.2041066667,-2.0253866667
A,-165.2004,-2.02744
A,-165.1992,-2.0281066667
A,-165.1969066667,-2.02944
A,-165.1941066667,-2.0309866667
A,-165.1908266667,-2.0327733333
A,-165.1884533333,-2.0341066667
A,-165.1839466667,-2.0365333333
A,-165.1827466667,-2.0372
A,-165.1804,-2.0385066667
A,-165.16744,-2.0456
A,-165.14712,-2.0566933333
A,-165.14624,-2.0571733333
A,-165.1438666667,-2.0585066667
A,-165.14104,-2.0600266667
A,-165.1381333333,-2.0615733333
A,-165.1360533333,-2.06264
A,-165.1335466667,-2.0640533333
A,-165.1307733333,-2.06552
A,-165.1290666667,-2.0664333333
A,-165.1258133333,-2.0682133333
A,-165.1241333333,-2.06912
A,-165.1213866667,-2.0706666667
A,-165.1185066667,-2.07224
A,-165.08455,-2.0916666667
A,-165.0771166667,-2.0959
A,-165.0716333333,-2.09905
A,-165.0582666667,-2.1066133333
A,-165.0558666667,-2.108
A,-165.0547733333,-2.1086666667
A,-165.0504,-2.1111733333
A,-165.0473333333,-2.1128533333
A,-165.02816,-2.1237333333
A,-165.0167,-2.1303
A,-165.0054133333,-2.1367733333
A,-165.00304,-2.1381066667
A,-164.9990933333,-2.1403466667
A,-164.98315,-2.1495166667
A,-164.9556,-2.1654333333
A,-164.92744,-2.1813866667
A,-164.92464,-2.1829066667
A,-164.92224,-2.18424
A,-164.9206133333,-2.18512
A,-164.91864,-2.1861866667
A,-164.9162666667,-2.18752
A,-164.9138933333,-2.1888533333
A,-164.9118933333,-2.1899733333
A,-164.9095733333,-2.1912533333
A,-164.9071733333,-2.19256
A,-164.9044,-2.1940533333
A,-164.9024533333,-2.19512
A,-164.8985066667,-2.1973333333
A,-164.8969066667,-2.1981866667
A,-164.8960533333,-2.19864
A,-164.8937333333,-2.1999466667
A,-164.8909066667,-2.2014933333
A,-164.88824,-2.2029866667
A,-164.8850666667,-2.2047733333
A,-164.8834933333,-2.2056533333
A,-164.8806933333,-2.2072
A,-164.8788,-2.2082666667
A,-164.8752533333,-2.21024
A,-164.87328,-2.2113333333
A,-164.8716533333,-2.21224
A,-164.8681333333,-2.21424
A,-164.86584,-2.2156
A,-164.8598666667,-2.21904
A,-164.8537333333,-2.2225866667
A,-164.84265,-2.2290166667
A,-164.8403166667,-2.23035
A,-164.8350833333,-2.2334166667
A,-164.8316,-2.2353666667
A,-164.8240166667,-2.2396
A,-164.7924333333,-2.2573833333
A,-164.7215733333,-2.2976533333
A,-164.7208266667,-2.2981066667
A,-164.7184533333,-2.29944
A,-164.71568,-2.3009866667
A,-164.7132266667,-2.3023733333
A,-164.7113866667,-2.3034133333
A,-164.7089866667,-2.3047733333
A,-164.70664,-2.3061066667
A,-164.70424,-2.30744
A,-164.7017866667,-2.3088533333
A,-164.6990933333,-2.3103466667
A,-164.69704,-2.3114933333
A,-164.69472,-2.3127733333
A,-164.6923466667,-2.3141333333
A,-164.6899733333,-2.3154666667
A,-164.6876533333,-2.3167466667
A,-164.68584,-2.3177333333
A,-164.6828533333,-2.31944
A,-164.6805066667,-2.3207733333
A,-164.6787733333,-2.3217066667
A,-164.6757333333,-2.3234133333
A,-164.6736533333,-2.32456
A,-164.6715733333,-2.3257066667
A,-164.6688,-2.3272533333
A,-164.6661333333,-2.3287733333
A,-164.6643733333,-2.3297866667
A,-164.66088,-2.3317066667
A,-164.6588533333,-2.3328533333
A,-164.6566666667,-2.3340533333
A,-164.6544533333,-2.3353333333
A,-164.6522666667,-2.3365066667
A,-164.64952,-2.3380266667
A,-164.6473866667,-2.3392266667
A,-164.6450666667,-2.3405066667
A,-164.6424533333,-2.34192
A,-164.64024,-2.3431733333
A,-164.6378133333,-2.3445066667
A,-164.6343733333,-2.3464
A,-164.6325333333,-2.34744
A,-164.6307733333,-2.3484
A,-164.6284533333,-2.3497066667
A,-164.62584,-2.35112
A,-164.5953166667,-2.36805
A,-164.5948333333,-2.3682833333
A,-164.59245,-2.3696166667
A,-164.5892666667,-2.3713833333
A,-164.5875333333,-2.37235
A,-164.5850666667,-2.3737666667
A,-164.5826333333,-2.3751166667
A,-164.5805833333,-2.3762333333
A,-164.5767833333,-2.3783166667
A,-164.57505,-2.3793
A,-164.5294666667,-2.4044533333
A,-164.5274666667,-2.4056
A,-164.52168,-2.4087466667
A,-164.5170133333,-2.4112266667
A,-164.5169333333,-2.4112533333
A,-164.5145866667,-2.4125333333
A,-164.5121333333,-2.41384
A,-164.4911666667,-2.4254
A,-164.4824333333,-2.4301833333
A,-164.4535666667,-2.446
A,-164.45112,-2.4473866667
A,-164.4500266667,-2.448
A,-164.4475733333,-2.4493866667
A,-164.4452533333,-2.45064
A,-164.44304,-2.4518933333
A,-164.4406133333,-2.4532
A,-164.43832,-2.4545066667
A,-164.4360266667,-2.4557866667
A,-164.43344,-2.4572533333
A,-164.4311466667,-2.4585333333
A,-164.4287466667,-2.45992
A,-164.4265066667,-2.4611733333
A,-164.42424,-2.4624266667
A,-164.4112,-2.46975
A,-164.4098666667,-2.4705166667
A,-164.4073166667,-2.4719166667
A,-164.4053166667,-2.47305
A,-164.4032666667,-2.4741833333
A,-164.3772833333,-2.4887166667
A,-164.3464166667,-2.5058666667
A,-164.3447166667,-2.5068
A,-164.3386333333,-2.5100833333
A,-164.3367,-2.5111
A,-164.33495,-2.5119833333
A,-164.3328666667,-2.5130666667
A,-164.3295833333,-2.5146833333
A,-164.30448,-2.5270666667
A,-164.3041333333,-2.5272266667
A,-164.3009333333,-2.5288
A,-164.29872,-2.52992
A,-164.2972,-2.53064
A,-164.2943733333,-2.5320533333
A,-164.2924,-2.53304
A,-164.2898133333,-2.53432
A,-164.28744,-2.5354666667
A,-164.28445,-2.5369666667
A,-164.2827733333,-2.5377866667
A,-164.2803733333,-2.5389333333
A,-164.2774666667,-2.5403166667
A,-164.2750666667,-2.5415166667
